longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote,__source_file,all_plinks,source_canonical
Business Abstracts with Full Text (H.W. Wilson),bft,179387165,EDITOR'S COMMENTS: Maximizing the Chances of Securing a Revision by Focusing on the Essentials.,"An editorial is presented on the reasons why papers are accepted or rejected in scholarly publishing with an emphasis on how to turn a rejection into a revision. The article breaks down a paper into three sections—the introduction, the conclusion, and then the middle—with insight into each section. Additionally, the article looks at paper preparation based on the type of paper including design science papers and theory papers.",20240901,"Brown, Susan",Editorial,Academic Journal,Sep2024,,MIS Quarterly,Design science ; Behavioral research ; Qualitative research ; Book Publishers ; Research and Development in the Social Sciences and Humanities ; Scholarly publishing ; Revision (Writing process),JOUR,,,02767783,,,,,English,,viii,iii,,48.0,3.0,10.25300/misq/48-3-ec,,MIS,,https://research.ebsco.com/plink/f3c35707-def8-38aa-a222-052cde1c4836,,,,,8609fb4a-60e9-4366-80aa-fbe8956a8035.csv,https://research.ebsco.com/plink/f3c35707-def8-38aa-a222-052cde1c4836,MIS Quarterly
OpenAIRE,edsair,edsair.doi.dedup.....ec3afd54c4df21ea33a65ecf0f3a027f,Positioning and Presenting Design Science Research for Maximum Impact1,"Design science research (DSR) has staked its rightful ground as an important and legitimate Information Systems (IS) research paradigm. We contend that DSR has yet to attain its full potential impact on the development and use of information systems due to gaps in the understanding and application of DSR concepts and methods. This essay aims to help researchers (1) appreciate the levels of artifact abstractions that may be DSR contributions, (2) identify appropriate ways of consuming and producing knowledge when they are preparing journal articles or other scholarly works, (3) understand and position the knowledge contributions of their research projects, and (4) structure a DSR article so that it emphasizes significant contributions to the knowledge base. Our focal contribution is the DSR knowledge contribution framework with two dimensions based on the existing state of knowledge in both the problem and solution domains for the research opportunity under study. In addition, we propose a DSR communication schema with similarities to more conventional publication patterns, but which substitutes the description of the DSR artifact in place of a traditional results section. We evaluate the DSR contribution framework and the DSR communication schema via examinations of DSR exemplar publications.",20130601,Shirley Gregor ; Alan R. Hevner,Article,Academic Journal,2013,False,MIS Quarterly,"0502 economics and business ; 05 social sciences ; 0202 electrical engineering, electronic engineering, information engineering ; 02 engineering and technology",GEN,,,21629730 ; 02767783,,,,,English,MIS Quarterly,355,337,19.0,37.0,,10.25300/misq/2013/37.2.01,,,,https://research.ebsco.com/plink/80288606-851e-3536-a859-610363c900d5,,,,,8609fb4a-60e9-4366-80aa-fbe8956a8035.csv,https://research.ebsco.com/plink/80288606-851e-3536-a859-610363c900d5,MIS Quarterly
OpenAIRE,edsair,edsair.doi.dedup.....6e2ada86ad225c1b43fecb35ed6c7497,FAIR: A Design Theory for Artificial Intelligence Fairness,"Artificial intelligence (AI)-automated decision systems encounter persistent, interdependent, and dynamic fairness tensions that traditional one-off interventions cannot resolve. Because these tensions persist due to interdependence and dynamic interaction, organizations require both a theory of the problem to explain their persistence and a theory of the solution to prescribe how they can be managed. Our design theory, FAIR (Fairness Adaptation through AI-augmented Responsiveness), provides a theory of the problem by reframing AI fairness as a sociotechnical paradox constituted within AI artifacts that automate decision tasks, through interdependent organizational, technical, and governance choices and their interaction with regulatory mandates and societal norms. Synthesizing four fairness perspectives (Ethics, Organizational Justice, Economic Fairness, and Rawlsian Justice), we identify three metatheoretical dimensions (principles, goals, foci) and show that the interdependence within and among these dimensions is the root, endogenous source that constitutes paradoxical fairness tensions. Building on this diagnosis, FAIR provides a theory of the solution by specifying an organizational capability grounded in three design foundations. First, the paradox lens motivates iterative adaptive cycles (Surfacing and Resolving) to continually surface and resolve AI fairness tensions. Second, design science in information systems and computer science distinguishes AI artifacts (the “what”) from the actors (the “who”) responsible for adapting them, establishing the basis for complementary human–AI agent collaboration in the adaptive cycles: AI agents execute monitoring to surface and refinement to resolve tensions, whereas human agents specify objectives, adjudicate trade-offs, and exercise contextual judgment and oversight. Third, the managing-with-AI literature informs how this human–AI agent collaboration should be governed. These foundations yield two reinforcing mechanisms: (i) artifact-level adaptation, achieved through structured human–AI agent collaboration, within and across the layers of the AI decision pipeline—Representation (data), Learning (model), and Calibration (decision); and (ii) portfolio-level, risk-tiered federated governance that structures how human–AI agent collaboration scales across tasks and artifacts, balancing process standardization with configuration choices and human control with AI autonomy based on task risk. Enabled by organizational “fairness complements”—namely, human skills to work with AI agents and structured stakeholder feedback—this sociotechnical design provides organizations with a sustained capability to harmonize global coherence and local flexibility in the responsive adaptation of AI fairness.",20260101,Arun Rai ; Jing Tian ; Ling Xue,Article,Academic Journal,2026,False,MIS Quarterly,,GEN,,,21629730 ; 02767783,,,,,English,MIS Quarterly,35,1,35.0,,,10.25300/misq/2026/17971,,,,https://research.ebsco.com/plink/cee436eb-a733-35ff-ab29-9727e2bc42cd,,,,,8609fb4a-60e9-4366-80aa-fbe8956a8035.csv,https://research.ebsco.com/plink/cee436eb-a733-35ff-ab29-9727e2bc42cd,MIS Quarterly
Applied Science & Technology Source Ultimate,aps,50036103,COMPUTING IN EVERYDAY LIFE: A CALL FOR RESEARCH ON EXPERIENTIAL COMPUTING.,"The information systems field emerged as a new discipline of artificial science as a result of intellectual efforts to understand the nature and consequences of computer and communication technology in modern organizations. As the rapid development of digital technology continues to make computers and computing a part of everyday experiences, we are once again in need of a new discipline of the artificial. In this essay, I argue that the IS community must expand its intellectual boundaries by embracing experiential computing as an emerging field of inquiry in order to fill this growing intellectual void. Experiential computing involves digitally mediated embodied experiences in everyday activities through everyday artifacts that have embedded computing capabilities. Experiential computing is enabled by the mediation of four dimensions of human experiences (time, space, actors, and artifacts) through digital technology. Drawing on a research framework that encompasses both behavioral and design sciences, six research opportunities that the IS research community can explore are suggested. Ultimately, I propose that the IS field return to its roots, the science of the artificial, by decisively expanding the scope of its inquiry and establishing a new domain of research on computing in everyday life experiences.",20100601,"Yoo, Youngjin",Article,Academic Journal,Jun2010,True,MIS Quarterly,Management information systems ; Information resources management ; Embedded computer systems ; Digital technology ; Information technology ; Ubiquitous computing ; Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ; Computer and peripheral equipment manufacturing ; Electronic Computer Manufacturing ; All Other Information Services,JOUR,,,02767783,,,,,English,,231,213,19.0,34.0,2.0,10.2307/20721425,,MIS,,https://research.ebsco.com/plink/b760a9fa-0e9c-37a5-952c-f9265224c4f6,,,,,8609fb4a-60e9-4366-80aa-fbe8956a8035.csv,https://research.ebsco.com/plink/b760a9fa-0e9c-37a5-952c-f9265224c4f6|https://research.ebsco.com/plink/dfe27693-1d6e-3f96-8cb7-af793c25b550,MIS Quarterly
Gale OneFile: Business,edsinc,edsgcl.386615795,Heuristic theorizing: proactively generating design theories,1. Introduction Jan is an information systems (IS) scholar who performs proactive design science research (DSR) by drawing heavily on Simonion design logic to develop prescriptive problem solutions and construct [...],20140901,"Wayne Gregory, Robert ; Muntermann, Jan",,Academic Journal,2014,True,Information Systems Research,United States ; Decision-making -- Analysis ; Heuristic programming -- Analysis ; Knowledge management -- Analysis ; Computers ; Library and information science ; Knowledge management,JOUR,,,10477047,,,,,English,Institute for Operations Research and the Management Sciences,,639.0,,25.0,3.0,,,,,https://research.ebsco.com/plink/3afba656-72b2-34f0-a71f-f0786636354e,,,,,1c3530ac-00ed-4378-9581-f3b2106f8b56.csv,https://research.ebsco.com/plink/3afba656-72b2-34f0-a71f-f0786636354e|https://research.ebsco.com/plink/2a07a5cd-fe4b-3099-8cf6-3da91ec1f965,Information Systems Research
JSTOR Journals,edsjsr,edsjsr.24700133,Invited Commentary: Reflections on ICT-enabled Bright Society Research,"Since the advent of the AIS Grand Vision Project of ICT-enabled Bright Society (in short, Bright ICT), there has been significant excitement as well as confusion about the concept. To resolve ambiguities about the types of research that are consistent with this vision, the notions of Restorative Bright ICT Research and Enriching Bright ICT Research are defined. In addition, we propose three perspectives that can differentiate Bright ICT research from traditional research approaches to create a disruptive impact on society. To address societal problems that are often global in scope, Bright ICT research recommends taking a holistic design of future society encompassing technologies and policies as well as business models driven by visionary principles. This paradigm can be an extension of design science for the scope of a Macro Information Society.",20160301,"Lee, Jae Kyu",research-article,Academic Journal,2016,True,Information Systems Research,,JOUR,,,10477047 ; 15265536,,,,,English,,5.0,1.0,5.0,27.0,1.0,,,,,https://research.ebsco.com/plink/7148f6d5-5550-377f-91ca-4f8adfade9da,,,,,1c3530ac-00ed-4378-9581-f3b2106f8b56.csv,https://research.ebsco.com/plink/7148f6d5-5550-377f-91ca-4f8adfade9da,Information Systems Research
JSTOR Journals,edsjsr,edsjsr.24700315,Research Note: Heuristic Theorizing: Proactively Generating Design Theories,"Design theories provide explicit prescriptions, such as principles of form and function, for constructing an artifact that is designed to meet a set of defined requirements and solve a problem. Design theory generation is increasing in importance because of the increasing number and diversity of problems that require the participation and proactive involvement of academic researchers to build and test artifact-based solutions. However, we have little understanding of how design theories are generated. Drawing on key contributions by Herbert A. Simon, including the ideas of satisfice and bounded rationality and reviewing a large body of information systems and problem-solving literature, we develop a normative framework for proactive design theorizing based on the notion of heuristic theorizing. Heuristics are rules of thumb that provide a plausible aid in structuring the problem at hand or in searching for a satisficing artifact design. An example of a problem-structuring heuristic is problem decomposition and an example of an artifact design heuristic is analogical design. We define heuristic theorizing as the process of proactively generating design theory for prescriptive purposes from problem-solving experiences and prior theory by constantly iterating between the search for a satisficing problem solution, i.e., heuristic search, and the synthesis of new information that is generated during heuristic search, i.e., heuristic synthesis. Heuristic search involves alternating between structuring the problem at hand and generating new artifact design components, whereas heuristic synthesis involves different ways of thinking, including reflection and learning and forms of reasoning, that complement the use of heuristics for theorizing purposes. We illustrate the effectiveness of our heuristic theorizing framework through a detailed example of a multiyear design science research program in which we proactively generated a design theory for solving problems in the area of intelligent information management and so-called big data in the finance domain. We propose that heuristic theorizing is a useful alternative to established theorizing approaches, i.e., reasoning-based approaches. Heuristic theorizing is particularly relevant for proactive design theorizing, which emphasizes problem solving as being highly intertwined with theorizing, involves a greater variety of ways of thinking than other theorizing approaches, and assumes an engaged relationship between academics and practitioners.",20140901,"Gregory, Robert Wayne ; Muntermann, Jan",research-article,Academic Journal,2014,True,Information Systems Research,Heuristics ; Design ; Information theory ; Problem solving ; Research design ; Design principles ; Information storage and retrieval systems ; Systems theory ; Reasoning ; Graphic design,JOUR,,,10477047 ; 15265536,,,,,English,,653.0,639.0,15.0,25.0,3.0,,,,,https://research.ebsco.com/plink/fca39d6a-be9d-3a5a-a1bb-bc417d2d3f62,,,,,1c3530ac-00ed-4378-9581-f3b2106f8b56.csv,https://research.ebsco.com/plink/fca39d6a-be9d-3a5a-a1bb-bc417d2d3f62,Information Systems Research
JSTOR Journals,edsjsr,edsjsr.23207657,Research Commentary: NeuroIS: The Potential of Cognitive Neuroscience for Information Systems Research,"This paper introduces the idea of drawing upon the cognitive neuroscience literature to inform IS research (herein termed ""NeuroIS""). Recent advances in cognitive neuroscience are uncovering the neural bases of cognitive, emotional, and social processes, and they offer new insights into the complex interplay between IT and information processing, decision making, and behavior among people, organizations, and markets. The paper reviews the emerging cognitive neuroscience literature to propose a set of seven opportunities that IS researchers can use to inform IS phenomena, namely (1) localizing the neural correlates of IS constructs, (2) capturing hidden mental processes, (3) complementing existing sources of IS data with brain data, (4) identifying antecedents of IS constructs, (5) testing consequences of IS constructs, (6) inferring the temporal ordering among IS constructs, and (7) challenging assumptions and enhancing IS theories. The paper proposes a framework for exploring the potential of cognitive neuroscience for IS research and offers examples of potentially fertile intersections of cognitive neuroscience and IS research in the domains of design science and human-computer interaction. This is followed by an example NeuroIS study in the context of e-commerce adoption using fMRI, which spawns interesting new insights. The challenges of using functional neuroimaging tools are also discussed. The paper concludes that there is considerable potential for using cognitive neuroscience theories and functional brain imaging tools in IS research to enhance IS theories.",20111201,"Dimoka, Angelika ; Pavlou, Paul A. ; Davis, Fred D.",research-article,Academic Journal,2011,True,Information Systems Research,Cognitive neuroscience ; Cerebral lobes ; Magnetic resonance imaging ; Neuroimaging ; Websites ; Cognitive processes ; Research tools ; Information storage and retrieval systems ; Behavioral neuroscience ; Functional neuroimaging,JOUR,,,10477047 ; 15265536,,,,,English,,702.0,687.0,16.0,22.0,4.0,,,,,https://research.ebsco.com/plink/e63daae7-1e05-39ef-8f88-7d2a99ff2f4e,,,,,1c3530ac-00ed-4378-9581-f3b2106f8b56.csv,https://research.ebsco.com/plink/e63daae7-1e05-39ef-8f88-7d2a99ff2f4e,Information Systems Research
Business Abstracts with Full Text (H.W. Wilson),bft,108873988,GENRES OF INQUIRY IN DESIGN-SCIENCE RESEARCH: JUSTIFICATION AND EVALUATION OF KNOWLEDGE PRODUCTION.,"Recognizing that design is at the core of information systems development has led to a design-science research paradigm where differing kinds of knowledge goals give form to differing kinds of knowledge processes within a single study. This paper analyzes knowledge production in design-science research to explain how an endogenous form of pluralism characterizes such studies, making it problematic to associate any design science study with a single view of knowledge production. Instead, a design-science research study exhibits up to four different modes of reasoning, called genres of inquiry. These genres are derived from two dualities that contrast differing knowledge goals and differing knowledge scope in the knowledge production process. The first duality arises from the sometimes seemingly contradictory knowledge goals of science versus design. The second duality reflects the contradiction between the scope of the knowledge produced, which may be idiographic or nomothetic. The evolutionary and iterative nature of a design-science study compels different knowledge goals and scope at different moments throughout a project. Because of this momentary nature, a single design-science study can be associated with multiple genres of inquiry. This understanding of the variety in the genres of inquiry advances the discourse on the nature of design-science research and the justification and evaluation of its outcomes. Consequently, a corresponding set of criteria for knowledge justification and evaluation is provided for each genre of inquiry.",20150901,"Baskerville, Richard L. ; Kaul, Mala ; Storey, Veda C.",Article,Academic Journal,Sep2015,True,MIS Quarterly,Design science ; Technical specifications ; Design information storage & retrieval systems ; Inquiry (Theory of knowledge) ; Theory of knowledge ; Generalization,JOUR,,,02767783,,,,,English,,A9,541,,39.0,3,,,MIS,,https://research.ebsco.com/plink/ec6eb84b-e741-3b2e-8e3e-ecef20a69673,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/ec6eb84b-e741-3b2e-8e3e-ecef20a69673|https://research.ebsco.com/plink/d45a74cc-cb30-3fe1-a622-875bbfa92820|https://research.ebsco.com/plink/86b56c87-610d-35bf-92e6-a112a8001283|https://research.ebsco.com/plink/b738ec38-c740-3efa-b8fa-69e6f4088130,MIS Quarterly
Business Abstracts with Full Text (H.W. Wilson),bft,87371385,KNOWING WHAT A USER LIKES: A DESIGN SCIENCE APPROACH TO INTERFACES THAT AUTOMATICALLY ADAPT TO CULTURE.,"Adapting user interfaces to a user's cultural background can increase satisfaction, revenue, and market share. Conventional approaches to catering for culture are restricted to adaptations for specific countries and modify only a limited number of interface components, such as the language or date and time formats. We argue that a more comprehensive personalization of interfaces to cultural background is needed to appeal to users in expanding markets. This paper introduces a low-cost, yet efficient method to achieve this goal: cultural adaptivity. Culturally adaptive interfaces are able to adapt their look and feel to suit visual preferences. In a design science approach, we have developed a number of artifacts that support cultural adaptivity, including a prototype web application. We evaluate the efficacy of the prototype's automatically generated interfaces by comparing them with the preferred interfaces of 105 Rwandan, Swiss, Thai, and multicultural users. The findings demonstrate the feasibility of providing users with interfaces that correspond to their cultural preferences in a novel yet effective manner.",20130601,"Reinecke, Katharina ; Bernstein, Abraham",Article,Academic Journal,Jun2013,True,MIS Quarterly,Design science ; User interfaces ; Customization ; Information storage & retrieval systems ; Human-computer interaction ; Cultural adaptation ; Internet users ; Cross-cultural differences,JOUR,,,02767783,,,,,English,,A11,427,,37.0,2,,,MIS,,https://research.ebsco.com/plink/ffd24e5d-4b87-35bb-b7a6-c5c9805d7c37,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/ffd24e5d-4b87-35bb-b7a6-c5c9805d7c37|https://research.ebsco.com/plink/c99ea71d-386f-3b75-9c64-ff795a7783e8|https://research.ebsco.com/plink/c547b2c9-128d-3cc0-893e-a558fc05ae3f|https://research.ebsco.com/plink/94d394b7-ecb7-36a4-9318-f19b75ffb9ac|https://research.ebsco.com/plink/fb5d91be-2e47-3af0-ba10-1c56860abec4|https://research.ebsco.com/plink/b93ee826-62a5-3c61-8072-56452d62ae8c|https://research.ebsco.com/plink/5d98233b-2926-3808-900f-a264b3ac72ba,MIS Quarterly
Business Abstracts with Full Text (H.W. Wilson),bft,123148197,HEALTHCARE PREDICTIVE ANALYTICS FOR RISK PROFILING IN CHRONIC CARE: A BAYESIAN MULTITASK LEARNING APPROACH.,"Clinical intelligence about a patient’s risk of future adverse health events can support clinical decision making in personalized and preventive care. Healthcare predictive analytics using electronic health records offers a promising direction to address the challenging tasks of risk profiling. Patients with chronic diseases often face risks of not just one, but an array of adverse health events. However, existing risk models typically focus on one specific event and do not predict multiple outcomes. To attain enhanced risk profiling, we adopt the design science paradigm and propose a principled approach called Bayesian multitask learning (BMTL). Considering the model development for an event as a single task, our BMTL approach is to coordinate a set of baseline models—one for each event—and communicate training information across the models. The BMTL approach allows healthcare providers to achieve multifaceted risk profiling and model an arbitrary number of events simultaneously. Our experimental evaluations demonstrate that the BMTL approach attains an improved predictive performance when compared with the alternatives that model multiple events separately. We also find that, in most cases, the BMTL approach significantly outperforms existing multitask learning techniques. More importantly, our analysis shows that the BMTL approach can create significant potential impacts on clinical practice in reducing the failures and delays in preventive interventions. We discuss several implications of this study for health IT, big data and predictive analytics, and design science research.",20170601,"Lin, Yu-Kai ; Chen, Hsinchun ; Brown, Randall A. ; Li, Shu-Hsing ; Yang, Hung-Jen",Article,Academic Journal,Jun2017,True,MIS Quarterly,Design science ; Computer multitasking ; Bayesian analysis ; Chronic care model ; Medical forecasting,JOUR,,,02767783,,,,,English,,A3,473,,41.0,2,,,MIS,,https://research.ebsco.com/plink/44e57db9-a898-32cb-9743-b4fd459f916d,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/44e57db9-a898-32cb-9743-b4fd459f916d|https://research.ebsco.com/plink/e2bbc472-8dc1-30cb-b471-b009a94937e8|https://research.ebsco.com/plink/cb3cbb96-0974-3494-8b8e-b8fdbf5a7a83|https://research.ebsco.com/plink/3b90e554-7545-39c9-a870-b1dbbcd59d9e|https://research.ebsco.com/plink/b1ca1e15-1086-3338-8b6e-ed22131f4ddb,MIS Quarterly
Business Abstracts with Full Text (H.W. Wilson),bft,121204218,EDITOR’S COMMENTS.,"The article presents several perspectives on scholarship on design and design science research. Emphasis is given to topics such as the need for intellectual control and adaptive learning in research, the interdisciplinary approach of computational design science, and the modeling of effective information systems.",20170301,"Rai, Arun",Article,Academic Journal,Mar2017,True,MIS Quarterly,Design science ; Information resources ; Information technology ; Design ; Research methodology ; Instructional systems,JOUR,,,02767783,,,,,English,,xviii,iii,,41.0,1,,,MIS,,https://research.ebsco.com/plink/9c6cfc00-5878-3621-9e1d-0fda13859f80,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/9c6cfc00-5878-3621-9e1d-0fda13859f80|https://research.ebsco.com/plink/70b37c79-8ebe-3178-a2a1-bca3dec625b1|https://research.ebsco.com/plink/ef19fb49-0853-3cc3-90c3-0d659c4f637d|https://research.ebsco.com/plink/13178392-7744-3d6f-81a1-8c0dc46cc9b8|https://research.ebsco.com/plink/f3fcb801-741c-3e0f-b99a-96ed0611dd01|https://research.ebsco.com/plink/8ad51147-02e9-37dd-af9e-666f41582043,MIS Quarterly
Business Abstracts with Full Text (H.W. Wilson),bft,511428570,Design Science in the Information Systems Discipline: An Introduction to the Special Issue on Design Science Research.,"An introduction is presented to a special section aimed at demonstrating and accelerating the momentum of design science research in the information systems (IS) environment. Design is at the core of information systems, with IS professionals engaged in the design and implementation of information technology aimed at improving the performance of business organizations. The origins of the special section are discussed, and details of the papers in the section are provided.",20081201,"March, Salvatore T. ; Storey, Veda C.",Article,Academic Journal,December 2008,True,MIS Quarterly,Design science,JOUR,,,02767783,,,,,English,,730,725,6.0,32.0,4,,,MIS,,https://research.ebsco.com/plink/d7a1abff-56b1-3815-9378-653095783497,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/d7a1abff-56b1-3815-9378-653095783497,MIS Quarterly
Business Abstracts with Full Text (H.W. Wilson),bft,510356106,Design Science in Information Systems Research.,"Two paradigms characterize much of the research in the Information Systems discipline: behavioral science and design science. The behavioral-science paradigm seeks to develop and verify theories that explain or predict human or organizational behavior. The design-science paradigm seeks to extend the boundaries of human and organizational capabilities by creating new and innovative artifacts. Both paradigms are foundational to the IS discipline, positioned as it is at the confluence of people, organizations, and technology. Our objective is to describe the performance of design-science research in Information Systems via a concise conceptual framework and clear guidelines for understanding, executing, and evaluating the research. In the design-science paradigm, knowledge and understanding of a problem domain and its solution are achieved in the building and application of the designed artifact. Three recent exemplars in the research literature are used to demonstrate the application of these guidelines. We conclude with an analysis of the challenges of performing high-quality design-science research in the context of the broader IS community. Reprinted by permission of the publisher.",20040302,"Hevner, Alan R. ; March, Salvatore T. ; Park, Jinsoo",Article,Academic Journal,March 2004,True,MIS Quarterly,Information technology research ; Systems design ; Design science,JOUR,,,02767783,,,,,English,,105,75,31.0,28.0,1,,,MIS,,https://research.ebsco.com/plink/11a359e5-d70b-3f3c-aa6b-b34ade6fbb27,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/11a359e5-d70b-3f3c-aa6b-b34ade6fbb27,MIS Quarterly
Business Abstracts with Full Text (H.W. Wilson),bft,511428564,Making Sense of Technology Trends in the Information Technology Landscape: A Design Science Approach.,"Part of a special section on design science research. A major problem for firms making information technology (IT) investment decisions is predicting and understanding the likely effects of future technological developments on the value of today's technologies. Failure to adequately address the question of how future technological developments may affect today's technologies can result in wasted organizational resources in acquiring, developing, managing, and training employees regarding technologies that are short-lived and that do not produce an adequate return on investment. The writers present a model to help analyze IT trends and reduce the complexity of the IT landscape for those making investment decisions.",20081201,"Adomavicius, Gediminas ; Bockstedt, Jesse C. ; Gupta, Alok ; Kauffman, Robert J.",Article,Academic Journal,December 2008,True,MIS Quarterly,Information technology ; Design science,JOUR,,,02767783,,,,,English,,809,779,31.0,32.0,4,,,MIS,,https://research.ebsco.com/plink/0bb4ebf7-7fdd-354e-9234-0398a5aa0c8c,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/0bb4ebf7-7fdd-354e-9234-0398a5aa0c8c,MIS Quarterly
Business Abstracts with Full Text (H.W. Wilson),bft,121204223,DESIGN AND EVALUATION OF AUTO-ID ENABLED SHOPPING ASSISTANCE ARTIFACTS IN CUSTOMERS’ MOBILE PHONES: TWO RETAIL STORE LABORATORY EXPERIMENTS.,"There has been widespread use of auto-ID technologies . With the increasing diffusion of smartphones, the potential to serve content to shoppers using auto-ID technologies is starting to receive interest. Using a design science approach, we design and build, theorize about, and compare six shopping assistance artifacts by manipulating the hardware design—barcode scanner versus radio frequency identification (RFID) reader—and content design—product information versus product review versus both. We theorize about how these artifact conditions will compare to a control condition (no shopping assistance artifact available) across three sets of outcomes: technology adoption, security beliefs, and shopping. We tested our propositions in two experiments—wherein the task was varied: general browsing and shopping (n = 227) versus goal-directed shopping (n = 221)—conducted in a retail store laboratory. The RFID reader was most favorably received in terms of technology adoption outcomes and shopping outcomes, although it was most negatively viewed in terms of security beliefs. We also found that the content design conditions (i.e., product information, product reviews, and both) were perceived favorably. In a post hoc analysis, we found a two-way interaction of hardware and content designs such that content fueled by RFID was perceived most favorably in terms of technology adoption and shopping outcomes, whereas it was most negatively viewed in terms of security beliefs. Interestingly, the two-way interaction was most pronounced in the goal-directed shopping condition such that the most positive effects were observed for RFID in combination with both product information and reviews.",20170301,"Venkatesh, Viswanath ; Aloysius, John A. ; Hoehle, Hartmut ; Burton, Scot",Article,Academic Journal,Mar2017,True,MIS Quarterly,"Automatic identification ; Commercial product evaluation ; Consumer behavior ; Design science ; Consumer education ; Shopping ; Commodity Contracts Brokerage ; Commodity Contracts Dealing ; Electronic components, navigational and communications equipment and supplies merchant wholesalers ; Radio frequency identification systems ; Mobile apps",JOUR,,,02767783,,,,,English,,114,83,32.0,41.0,1,,,MIS,,https://research.ebsco.com/plink/e2959763-341e-3559-9010-d3a96dcba12f,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/e2959763-341e-3559-9010-d3a96dcba12f|https://research.ebsco.com/plink/ae9ac58d-2bab-3ec1-9464-e896231091c3|https://research.ebsco.com/plink/0dc0bb45-c825-3e1e-83e1-f1f85396d116|https://research.ebsco.com/plink/5dce2fa9-08eb-3a85-ab44-c329a1804aae,MIS Quarterly
Business Abstracts with Full Text (H.W. Wilson),bft,511428568,The Design Theory Nexus.,Part of a special section on design science research. A design theory nexus allows for the construction of models that connect different design theories with alternative solutions and thus offers a particularly useful solution for addressing ill-structured or “wicked” problems. Managers often face ill-structured or wicked problems characterized by a large degree of uncertainty as to how the problem should be approached and how to establish and evaluate alternative solutions. The writers present a suggested method for constructing a design theory nexus and illustrate its use through two field studies.,20081201,"Pries-Heje, Jan ; Baskerville, Richard",Article,Academic Journal,December 2008,True,MIS Quarterly,Design science ; Systems design,JOUR,,,02767783,,,,,English,,755,731,25.0,32.0,4,,,MIS,,https://research.ebsco.com/plink/3300d087-1f89-3a0a-aaed-809df09fe264,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/3300d087-1f89-3a0a-aaed-809df09fe264,MIS Quarterly
Business Abstracts with Full Text (H.W. Wilson),bft,511428566,Process Grammar as a Tool for Business Process Design.,"Part of a special section on design science research. Although standard solutions for business process design are already available in commercial software, the possibility of gaining a competitive advantage through innovative processes has generated interest in tools for devising new processes. The space of design alternatives for a business process is usually very large, with technology, location, and other factors generating apparently boundless possibilities. The writers present a set of artifacts to support process designers in their efforts to manage this issue in the form of a grammar-based method to generate and manage business process design alternatives and a software prototype that provides support for the use of the method.",20081201,"Lee, Jintae ; Wyner, George M. ; Pentland, Brian T.",Article,Academic Journal,December 2008,True,MIS Quarterly,Systems design ; Design science ; Business ; Design,JOUR,,,02767783,,,,,English,,778,757,22.0,32.0,4,,,MIS,,https://research.ebsco.com/plink/25abbba5-d694-3859-9d93-ce93c39bdb6a,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/25abbba5-d694-3859-9d93-ce93c39bdb6a,MIS Quarterly
Business Abstracts with Full Text (H.W. Wilson),bft,511428559,Using Cognitive Principles to Guide Classification in Information Systems Modeling.,"Part of a special section on design science research. Despite the pervasiveness of classification in information systems modeling, little research has offered well-grounded guidelines for identifying, evaluating, and choosing classes when modeling a domain or designing information systems artifacts. Classes or entity types have a central role in conceptual modeling for information systems requirements analysis and in the design of databases and object-oriented software. In addition, classification is the main task in such applications as data mining and in the development of domain ontologies to support information sharing in semantic Web applications. The writers discuss the cognitive notions of inference and economy to develop guidelines for effective and efficient classification.",20081201,"Parsons, Jeffrey ; Wand, Yair",Article,Academic Journal,December 2008,True,MIS Quarterly,Information technology ; Design science,JOUR,,,02767783,,,,,English,,868,839,30.0,32.0,4,,,MIS,,https://research.ebsco.com/plink/decfe139-224d-3444-8624-788457aaf740,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/decfe139-224d-3444-8624-788457aaf740,MIS Quarterly
